ticker,ratio
ABT,4.0
HWM,1.0
AEG,1.0
MO,4.0
AEM,6.0
AMX,1.0
AXP,15.0
AIG,5.0
AMGN,30.0
ADI,15.0
AAPL,20.0
AMAT,5.0
T,3.0
ADP,6.0
AVY,18.0
CAR,26.0
AZN,2.0
BBVA,1.0
BBD,1.0
BSBR,1.0
BAC,4.0
BCS,1.0
B,2.0
BAS GR,2.0
BAYN GR,3.0
BHP,2.0
BA,24.0
BP,5.0
BMY,3.0
BG,5.0
CAH,3.0
CAT,20.0
CX,1.0
CVX,16.0
CSCO,5.0
C,3.0
KO,5.0
KOF,2.0
CDE,1.0
CL,3.0
VALE,2.0
GLW,4.0
COST,48.0
MBG GR,4.0
DE,40.0
DTEA GR,3.0
DEO,6.0
DIS,12.0
DD,5.0
EBAY,2.0
EOAN GR,6.0
LLY,56.0
E,4.0
XOM,10.0
FNMA,1.0
FDX,10.0
FSLR,18.0
FMX,6.0
ORANY,1.0
FMCC,1.0
FCX,3.0
GE,8.0
GSK,4.0
GFI,1.0
GOOGL,58.0
PAC,16.0
ASR,20.0
TV,3.0
BSN GR,20.0
HOG,3.0
HMY,1.0
HDB,2.0
HL,1.0
HPQ,1.0
HMC,1.0
HHPD LI,2.0
HON,8.0
HSBC,2.0
IBM,15.0
IBN,1.0
INFY,1.0
ING,3.0
INTC,5.0
IFF,12.0
IP,4.0
JPM,15.0
JNJ,15.0
KMB,6.0
KGC,1.0
KB,2.0
KEP,1.0
LVS,2.0
LYG,2.0
ERIC,2.0
LMT,20.0
MMC,16.0
MCD,24.0
MDT,4.0
MELI,120.0
MRK,5.0
MSFT,30.0
MMM,10.0
MUFG,1.0
MFG,1.0
MBT,2.0
MSI,20.0
NGG,2.0
NEC1 GR,0.3333333333333333
NEM,3.0
NKE,12.0
NSANY,1.0
NOK,1.0
NMR,1.0
NVS,4.0
NUE,16.0
OGZD,2.0
LKOD,4.0
ATAD,4.0
NLMK LI,2.1
ORCL,3.1
PCAR,3.0
PSO,1.0
PEP,18.0
PFE,4.0
PHG,5.0
