,AL30,SNSBO,LK01Q,AE38,GD30,BMACTAA,GD35,Cash_MEP,Cash_ARS,Cash_CCL,ECOG,BIOX,FIPL,ERIC,PAAS,DGCU2,TECO2,CVH,ALGIIIA,TSLA,BPAT,YPFD,EDN,LAR,SH,UBT,SPY,VIST,KO,GBAN,METR,COIN,CEPU,AAPL,AUSO,BULMAAA,XLP,SAMI,SHY,HMY,GOOGL,PSQ,ASML,LLY,ARKK,BULL-IA,PAMP,SUPV,GGAL,ARGT,META,TRAN,VALE,TLT,CRES,SAN,ALUA,INTC,ADBE,MIRG,MELI,BBD,RIGAHOR,UNH,MSFT,VARIAS,BYMA,TXAR
2023-01-10,0.0,,,0.0,0.0,0.0,0.0,0.0,202.21841363203066,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.32272267928499,0.0,0.0,0.0,0.0,0.0
2023-01-11,0.0,,,0.0,0.0,0.0,0.0,0.0,200.36368676245627,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.75110496029408,0.0,0.0,0.0,0.0,0.0
2023-01-12,0.0,,,0.0,0.0,0.0,0.0,0.0,100.97767518126739,0.0,,,0.0,0.0,25.31322847195373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.397656676957673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.54531036376953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.59341529019255,0.0,0.0,0.0,0.0,0.0
2023-01-13,0.0,,,0.0,0.0,0.0,0.0,0.0,18.154246502566107,0.0,,,0.0,0.0,25.5404863162669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276076608071794,0.0,0.0,0.0,0.0,18.78421638638655,0.0,7.896963119506836,0.0,0.0,0.0,0.0,0.0,0.0,11.38862543438562,0.0,9.754567623138428,0.0,51.64709442138672,8.974090776791112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.569906234741211,58.46316958103501,0.0,0.0,0.0,0.0,0.0
2023-01-14,0.0,,,0.0,0.0,0.0,0.0,0.0,18.154246502566107,0.0,,,0.0,0.0,25.5404863162669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276076608071794,0.0,0.0,0.0,0.0,18.78421638638655,0.0,7.896963119506836,0.0,0.0,0.0,0.0,0.0,0.0,11.38862543438562,0.0,9.754567623138428,0.0,51.64709442138672,8.974090776791112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.569906234741211,58.46316958103501,0.0,0.0,0.0,0.0,0.0
2023-01-15,0.0,,,0.0,0.0,0.0,0.0,0.0,18.154246502566107,0.0,,,0.0,0.0,25.5404863162669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276076608071794,0.0,0.0,0.0,0.0,18.78421638638655,0.0,7.896963119506836,0.0,0.0,0.0,0.0,0.0,0.0,11.38862543438562,0.0,9.754567623138428,0.0,51.64709442138672,8.974090776791112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.569906234741211,58.46316958103501,0.0,0.0,0.0,0.0,0.0
2023-01-16,0.0,,,0.0,0.0,0.0,0.0,0.0,18.154246502566107,0.0,,,0.0,0.0,25.5404863162669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276076608071794,0.0,0.0,0.0,0.0,18.78421638638655,0.0,7.896963119506836,0.0,0.0,0.0,0.0,0.0,0.0,11.38862543438562,0.0,9.754567623138428,0.0,51.64709442138672,8.974090776791112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.569906234741211,58.46316958103501,0.0,0.0,0.0,0.0,0.0
2023-01-17,0.0,,,0.0,0.0,0.0,0.0,0.0,17.703897175342355,0.0,,,0.0,0.0,25.220456374498397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.533638677525084,0.0,0.0,0.0,0.0,18.797147724931122,0.0,7.411891460418701,0.0,0.0,0.0,0.0,0.0,0.0,11.603261793130223,0.0,10.293160343170166,0.0,51.03628570556641,9.13014123247086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.406037330627441,57.012883606099855,0.0,0.0,0.0,0.0,0.0
2023-01-18,0.0,,,0.0,0.0,0.0,0.0,0.0,17.971070837060136,0.0,,,0.0,0.0,24.84876526471493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13060565577429,0.0,0.0,0.0,0.0,17.62241327136767,0.0,7.217863082885742,0.0,0.0,0.0,0.0,0.0,0.0,10.903325649673791,0.0,9.275814278960425,0.0,50.15402191162109,8.798124083329302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.406037330627441,57.87327839529613,0.0,0.0,0.0,0.0,0.0
2023-01-19,0.0,,,0.0,0.0,0.0,0.0,0.0,18.006485057053677,0.0,,,0.0,0.0,25.692096892518443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.846135654962207,0.0,0.0,0.0,0.0,17.170046889677284,0.0,7.334280014038086,0.0,0.0,0.0,0.0,0.0,0.0,10.959604397666352,0.0,9.642356872558594,0.0,51.33415222167969,8.26984407164003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.406037330627441,57.987324855377516,0.0,0.0,0.0,0.0,0.0
